1.0035,0.46187	1.04419728,0.46494502	1.07830045,0.4544961	1.12041055,0.4376401	1.1233905,0.43361364	1.14141436,0.41332669	1.11899738,0.43471241	1.0865248,0.4251432	1.05144404,0.43256576	1.0032237,0.44175985	0.98671342,0.45979438	1.02410473,0.43877685	1.0777796,0.42408011	1.13576253,0.41549285	1.15133931,0.42101297	1.17836261,0.4136139	1.02654646,0.45533564	1.09603162,0.43041799	1.0223668,0.43949987	1.03754735,0.45078684	0.9800806,0.48574465	1.10609407,0.47169341	1.077182,0.43887172	1.12101039,0.41505875	1.16596357,0.42912397	1.15836868,0.41114988	1.06989425,0.42952022	1.02299572,0.44727348	1.06050053,0.45722026	1.07945888,0.45114494	0.96752136,0.49358894	1.00185457,0.47276864	1.06478265,0.45026832	1.11838773,0.42609199	1.14890352,0.41875351	1.18409873,0.41727453	1.04322658,0.47328364	1.08882736,0.4473231	0.96895189,0.47724189	0.96582114,0.474672
0.64465,0.44843	0.66327772,0.4376301	0.66921531,0.43132367	0.68623463,0.42137743	0.68447716,0.42413482	0.70798435,0.42422317	0.68248293,0.42482493	0.67447316,0.4356172	0.67678182,0.42929868	0.65651052,0.43244923	0.64066311,0.44651161	0.6659697,0.44571075	0.68945508,0.44447818	0.67876318,0.43826611	0.7083199,0.42846385	0.70842768,0.41896199	0.66595877,0.44479958	0.68741961,0.43011507	0.66022804,0.45383939	0.66837953,0.44215911	0.61988355,0.44836833	0.65509895,0.4433229	0.67252866,0.42298459	0.69144753,0.40634713	0.71723509,0.3970031	0.69975036,0.38906083	0.67555772,0.41331185	0.6488215,0.46269024	0.6762509,0.41215683	0.66784573,0.42848621	0.61798015,0.45987959	0.6357158,0.463101	0.68385791,0.44628471	0.68436408,0.43430847	0.70574943,0.43661724	0.70332449,0.43449598	0.66853022,0.45728124	0.68595292,0.44028336	0.62679598,0.46255765	0.61851394,0.46074828
0.48336,0.41081	0.49759708,0.40381236	0.50104888,0.4054459	0.50148733,0.40830298	0.50277364,0.40714607	0.4947651,0.46127869	0.49723459,0.41954341	0.49786298,0.42458681	0.50557689,0.39826966	0.48226732,0.41607836	0.48067853,0.40318175	0.4829325,0.409689	0.48810835,0.4092986	0.48876391,0.41491551	0.47207796,0.44116271	0.47334855,0.45135171	0.46820177,0.41765105	0.48277396,0.40667285	0.47705268,0.4134491	0.47814404,0.42055211	0.47231842,0.42792215	0.48759249,0.42688502	0.51000028,0.41512405	0.49479564,0.41770693	0.50137508,0.42944847	0.50886368,0.43392695	0.50803521,0.3903837	0.48435946,0.43996119	0.52126463,0.36462219	0.49759286,0.41758244	0.47314622,0.41953229	0.48734608,0.42507427	0.5067784,0.41217631	0.51697491,0.40682928	0.50907193,0.42266416	0.50130921,0.44108586	0.48079724,0.46373716	0.49656086,0.42354122	0.48583443,0.42656202	0.48097326,0.41350021
0.36508,0.37722	0.37968972,0.37604116	0.37419005,0.38603332	0.36725477,0.39808889	0.37322677,0.39592633	0.36004433,0.48575792	0.37344114,0.41199112	0.36665149,0.41566786	0.38997817,0.38009406	0.37035166,0.41107081	0.38499218,0.3769254	0.3755078,0.38992344	0.37079084,0.39167647	0.36802669,0.40004341	0.3469754,0.45064599	0.34600463,0.48266587	0.36832942,0.39970949	0.3715277,0.39686865	0.37598607,0.39383344	0.36684791,0.41085821	0.37308963,0.41442334	0.37408842,0.40457605	0.37793006,0.39538559	0.37125433,0.42494402	0.35830995,0.44915443	0.35711193,0.4689257	0.38426927,0.37105655	0.37159956,0.42491757	0.41548595,0.3313734	0.37769085,0.40529124	0.37794153,0.38604784	0.38190344,0.39742741	0.39274726,0.3821113	0.38791651,0.37991055	0.36889216,0.41096138	0.36286393,0.45208861	0.35685633,0.46502059	0.37051707,0.40901335	0.38869998,0.39972147	0.38829518,0.37852385
0.33148,0.37184	0.33056445,0.36435212	0.32550448,0.37948113	0.30882733,0.39371527	0.31005476,0.39344652	0.29196671,0.50315866	0.30700877,0.4091622	0.31347482,0.41265488	0.32541984,0.37034101	0.3246917,0.40494127	0.32723547,0.36588115	0.32554856,0.383137	0.31411283,0.38941076	0.29088883,0.40274222	0.28301097,0.4617466	0.27586598,0.49943175	0.31521715,0.39977682	0.30931378,0.39276217	0.32372775,0.38616598	0.30709882,0.40955246	0.33086784,0.41309189	0.32768904,0.4039258	0.32728207,0.39858983	0.30965225,0.4338007	0.30344624,0.46234168	0.30048052,0.48525193	0.33109745,0.37130709	0.32800556,0.42212786	0.3696483,0.31790971	0.33144906,0.40143475	0.33859803,0.37922826	0.34357978,0.38917816	0.34138271,0.37087825	0.32990077,0.37376666	0.31046712,0.41506198	0.29636092,0.46267772	0.31583086,0.46641579	0.33131018,0.40542921	0.34436752,0.39239374	0.35418897,0.36920161
0.29116,0.37184	0.29255057,0.36823028	0.27665106,0.3847377	0.26154705,0.40504471	0.26281179,0.40341982	0.24611634,0.51820379	0.26058615,0.41664713	0.27027327,0.41866887	0.28050167,0.37384706	0.28199408,0.41118037	0.29773095,0.36937624	0.2814732,0.3885582	0.26637492,0.40003265	0.2481962,0.41849158	0.23602978,0.48617929	0.23767939,0.53018906	0.27732026,0.40781834	0.26554353,0.40308738	0.28284304,0.39421645	0.26934814,0.42213077	0.29449298,0.42397114	0.28528397,0.41920841	0.27949614,0.41441081	0.25890451,0.46160332	0.26375338,0.49072394	0.25808569,0.52152472	0.28677451,0.38386134	0.28327036,0.4418213	0.31313591,0.32745606	0.27987063,0.4187459	0.29636252,0.38045733	0.28827302,0.39070498	0.28145542,0.37442748	0.25475747,0.38497566	0.23879799,0.43278442	0.22516633,0.48888129	0.2638014,0.4839407	0.27260665,0.41542994	0.29214824,0.39572243	0.3096401,0.36281526
0.27099,0.38931	0.27125499,0.38913855	0.26308306,0.40524321	0.24116561,0.4288449	0.24574511,0.43042571	0.23008372,0.55637388	0.24106374,0.44863584	0.24630393,0.44893144	0.26129493,0.39802554	0.26301837,0.43220999	0.28129915,0.38492912	0.26748853,0.41110972	0.24916348,0.42248805	0.23619617,0.44406235	0.2287323,0.51354635	0.22900228,0.55270762	0.26255355,0.43372566	0.25210992,0.42973499	0.26696267,0.4152966	0.25861965,0.44281912	0.27528051,0.44400935	0.27009708,0.44459652	0.26086064,0.44182902	0.25046882,0.48969143	0.25067162,0.51803344	0.24914062,0.5469674	0.26897556,0.40757958	0.2674372,0.45869955	0.2954026,0.34730105	0.26714323,0.44395821	0.28143017,0.39508475	0.27259342,0.4088178	0.26403744,0.39422391	0.24363808,0.40434371	0.22063265,0.45556244	0.20853991,0.51655218	0.25065075,0.50867393	0.24800897,0.43836156	0.27924256,0.41385752	0.28955008,0.38336032
0.27099,0.41887	0.27523164,0.41729482	0.26418355,0.4333337	0.25240007,0.45875709	0.25395822,0.46031882	0.24131458,0.5886108	0.24984867,0.47189706	0.25530796,0.47987697	0.26761986,0.42792601	0.26903384,0.4610956	0.28627494,0.41313852	0.27465351,0.44002941	0.25534117,0.44713214	0.24312189,0.46458916	0.23686712,0.52919842	0.24084152,0.57838702	0.2725494,0.45380645	0.25655839,0.45253208	0.2718622,0.44108104	0.26033338,0.46134789	0.28713716,0.4697338	0.28536055,0.47465618	0.2790416,0.47083271	0.26234028,0.51369843	0.26887915,0.55056248	0.26814205,0.57356896	0.27877792,0.43433246	0.27804742,0.48314818	0.30185387,0.37596398	0.27987059,0.47082733	0.28133195,0.41563852	0.27832656,0.43640408	0.26832469,0.42450593	0.2475676,0.43235974	0.23247794,0.48855889	0.22130447,0.54824125	0.25811916,0.53826925	0.25962901,0.46890052	0.28465993,0.43705251	0.29441721,0.40783957
0.30863,0.44171	0.31583447,0.43875579	0.3111406,0.45907505	0.3030428,0.48053548	0.30148955,0.47716481	0.30811984,0.58666787	0.30296746,0.49369522	0.30567542,0.49358576	0.31732936,0.44983304	0.31078893,0.48108652	0.31422333,0.43183462	0.31079354,0.45874872	0.30808286,0.47120026	0.29603084,0.48844678	0.2865935,0.5494846	0.29106931,0.58074042	0.31202887,0.4736987	0.30267485,0.47526007	0.30209439,0.46049297	0.30184592,0.4812622	0.33262266,0.48368588	0.32452852,0.48946328	0.32659705,0.48323573	0.32090864,0.52481051	0.32820276,0.55266535	0.32608943,0.57739383	0.32487811,0.44905401	0.32296654,0.49805612	0.34067915,0.40051347	0.32725599,0.48401228	0.32549245,0.44114045	0.32138622,0.4567131	0.32247004,0.44993231	0.29750568,0.46247334	0.30469788,0.51108281	0.29806952,0.55018182	0.31391175,0.54350342	0.3121827,0.48056226	0.32743531,0.46070667	0.3342213,0.43511413
0.34492,0.45112	0.37195433,0.45472488	0.36426811,0.46569725	0.3662027,0.48488002	0.36784245,0.48276944	0.37628442,0.57269569	0.36233747,0.49743511	0.35867125,0.49815896	0.38041643,0.4626021	0.36745157,0.48426658	0.37029457,0.44692772	0.36831391,0.46716869	0.3600917,0.48033842	0.3615023,0.49371227	0.35279341,0.54542073	0.36337525,0.57505701	0.36253138,0.47968467	0.36507586,0.48100638	0.36351908,0.47169944	0.36244537,0.49184327	0.36526458,0.4825654	0.37455852,0.48612752	0.37251963,0.48110343	0.3784435,0.51324782	0.37153785,0.54507362	0.37912115,0.56163464	0.38157672,0.45341876	0.37329254,0.50623858	0.39556336,0.41192922	0.37817428,0.48730136	0.36322483,0.45585465	0.3635687,0.47147967	0.36688816,0.45924712	0.35858256,0.4732407	0.36243511,0.51102698	0.36401618,0.54979409	0.3606419,0.54513022	0.36032972,0.49142804	0.37024795,0.47353007	0.36734476,0.44802911
0.46185,0.49277	0.4729069,0.49077986	0.48354183,0.49978931	0.48631544,0.50780517	0.48018705,0.5083839	0.50793815,0.56029538	0.47842221,0.51748662	0.4853236,0.51912863	0.48268826,0.49440863	0.46998442,0.50599142	0.45569587,0.48082482	0.46039615,0.49883371	0.46121195,0.50706037	0.47248194,0.51816063	0.46424793,0.54755626	0.47447327,0.56089641	0.45538389,0.50391841	0.46170037,0.50758997	0.45810758,0.50140681	0.4559533,0.51402515	0.46095034,0.50711204	0.47319003,0.51062761	0.48359423,0.51057325	0.48270046,0.52397989	0.49184852,0.53828695	0.49884282,0.54647866	0.48691653,0.48683881	0.47094643,0.53159343	0.49248661,0.45509798	0.48307324,0.50614655	0.4471853,0.49197169	0.46731575,0.50651232	0.47519458,0.50190487	0.48394597,0.50660785	0.48143702,0.52911504	0.4905659,0.55683883	0.47909166,0.55190832	0.47817878,0.51360624	0.46087224,0.50251912	0.46082978,0.48708778
0.55997,0.55324	0.57369417,0.54651895	0.58644683,0.5425277	0.60488935,0.5402168	0.6036489,0.54018514	0.65177049,0.55439031	0.60497873,0.54621138	0.60587836,0.55198243	0.59104849,0.53514473	0.56999888,0.54156442	0.55687028,0.54786135	0.57934673,0.56122823	0.60186567,0.56014652	0.61147765,0.56320172	0.63605905,0.5675219	0.66028297,0.56141749	0.57489316,0.55614719	0.6005667,0.55238517	0.5817521,0.56214309	0.58606147,0.56037374	0.54413575,0.54408429	0.5917947,0.55322408	0.60521505,0.54261927	0.63876197,0.53836831	0.63967858,0.53561226	0.64620982,0.53065696	0.60262586,0.53086843	0.57562479,0.57169777	0.58378072,0.52964864	0.60306792,0.54524245	0.55105606,0.56549783	0.58258774,0.56964557	0.61935638,0.5686597	0.64431607,0.56868499	0.6643636,0.57414142	0.68555677,0.57666844	0.62183743,0.57036971	0.63789147,0.56261328	0.56953969,0.56608523	0.5562317,0.57201196
0.44707,0.57876	0.45522392,0.58061468	0.461848,0.574854	0.4677617,0.57104063	0.46978224,0.5684586	0.47896695,0.56627823	0.48037091,0.56533703	0.47317771,0.56965382	0.47261975,0.53198697	0.45625556,0.59179963	0.44072919,0.5940002	0.45452761,0.58974415	0.46654975,0.58330048	0.47509017,0.57242879	0.47596291,0.56298855	0.47282431,0.56837802	0.45521163,0.57915127	0.47323521,0.561201	0.46226955,0.57083083	0.45629367,0.57234219	0.44168003,0.56914545	0.47109475,0.56970611	0.47978099,0.55947197	0.48001901,0.55443498	0.48018997,0.56355254	0.46567446,0.55909518	0.47141774,0.54585794	0.46596876,0.59490263	0.45845555,0.59272472	0.46709664,0.5696337	0.42609607,0.60491865	0.45681217,0.58504092	0.47459936,0.5740909	0.4880974,0.56909173	0.49311468,0.56793303	0.49361595,0.56581474	0.47067244,0.56086599	0.47620721,0.52463888	0.4500184,0.59519338	0.45105432,0.65321041
0.31401,0.60564	0.3213727,0.60613789	0.31814943,0.59954747	0.31323694,0.59723873	0.32170204,0.59528776	0.31673363,0.58812652	0.31802492,0.58147972	0.31662638,0.58928084	0.32286995,0.5426631	0.32599491,0.64506744	0.32745998,0.61943003	0.32222449,0.61209032	0.32744443,0.59667279	0.32634644,0.58089905	0.33084599,0.5683033	0.31913177,0.58741458	0.3250783,0.59979477	0.32597095,0.57077923	0.32877855,0.57587687	0.32990435,0.57995732	0.32157874,0.59037691	0.32610242,0.58767434	0.33013815,0.57189153	0.3226341,0.56846047	0.31551663,0.59240113	0.31335568,0.59049424	0.32524948,0.55377506	0.33315993,0.61090394	0.33527708,0.64421769	0.33174421,0.5860566	0.32082958,0.62655978	0.33069443,0.58909881	0.33301606,0.57070838	0.34157849,0.56505262	0.33297946,0.56030021	0.32630932,0.56260701	0.33877897,0.55182141	0.3530384,0.50037492	0.32800385,0.62262113	0.34898038,0.71597863
0.26965,0.61504	0.27344879,0.61696037	0.26625971,0.6106802	0.25648973,0.61021172	0.260268,0.60699903	0.24669958,0.59702555	0.26506019,0.58837575	0.26582768,0.59283307	0.265916,0.54180021	0.28210836,0.6623793	0.27646285,0.63115362	0.2705218,0.62043698	0.26959251,0.60445299	0.26346064,0.58596767	0.26107922,0.57258613	0.24867637,0.59303387	0.26953333,0.60884712	0.26333129,0.57673731	0.27781645,0.57745669	0.27417254,0.58661766	0.28656916,0.59317286	0.28513967,0.59026706	0.27390904,0.57967832	0.27322048,0.5766359	0.26871216,0.60060065	0.25615512,0.60320734	0.27409499,0.5603223	0.28796729,0.61657504	0.28566708,0.66331044	0.28563778,0.59638451	0.28978447,0.63543372	0.29132692,0.59240373	0.28698562,0.56990138	0.2803148,0.56706219	0.28107691,0.56051972	0.26754874,0.56055288	0.29306479,0.54828251	0.30540164,0.49300565	0.29029236,0.62699663	0.31632243,0.73308586
0.23202,0.62445	0.22683932,0.63763214	0.22171093,0.62634233	0.212376,0.62468071	0.21623988,0.62325582	0.20069984,0.60693475	0.21760438,0.59887549	0.21688889,0.6076223	0.2210205,0.54830542	0.23843188,0.69209614	0.2414207,0.65375955	0.23532163,0.64115673	0.21901292,0.62518889	0.21770731,0.60723499	0.21523624,0.58618132	0.19543939,0.61677722	0.23384112,0.63003453	0.22096074,0.59856759	0.23584737,0.59228549	0.22802044,0.60931196	0.2490094,0.61342596	0.23768313,0.61606229	0.22790525,0.60335545	0.21605112,0.60748422	0.21167236,0.63202186	0.20484004,0.62977694	0.23340312,0.57909208	0.24512589,0.63713997	0.24466628,0.69948049	0.23910068,0.61623188	0.23925974,0.6530614	0.23710695,0.60088129	0.22513548,0.58037357	0.21039391,0.58413666	0.19794152,0.57206828	0.19387301,0.5735793	0.23556941,0.55314092	0.24192951,0.48508522	0.24385264,0.64868071	0.27532329,0.77011189
0.21723,0.66207	0.22094359,0.66851547	0.21237788,0.66167334	0.20157988,0.66419355	0.20246758,0.66285066	0.18325823,0.65542636	0.20345405,0.64451493	0.20480367,0.64398246	0.20493113,0.5829411	0.23894593,0.72245136	0.23926801,0.68425467	0.2333252,0.67449207	0.21389035,0.65703781	0.20627081,0.6397974	0.19976381,0.62662136	0.19073019,0.64847703	0.22790424,0.65544159	0.21225357,0.62296518	0.22126723,0.62258772	0.22306596,0.63502408	0.23739703,0.64015868	0.22974691,0.64579683	0.2201516,0.63493814	0.20896341,0.63354627	0.2059121,0.67054431	0.19760241,0.66605899	0.22105595,0.61212131	0.23479023,0.66460565	0.24960188,0.72848455	0.22458111,0.65271455	0.23485571,0.68055357	0.22403434,0.63566763	0.21145501,0.61090887	0.195234,0.61548326	0.18578264,0.60843376	0.1778807,0.60903564	0.21792189,0.58403022	0.22107315,0.51893529	0.23272834,0.67815683	0.27970572,0.79638935
